分类,级别,类型,简称,全称,出版社,网址
计算机科学理论,C,会议,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/conf/ictac/
计算机科学理论,C,会议,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/conf/ipco/
计算机科学理论,C,会议,FSCD,International Conference on Formal Structures for Computation and Deduction,Dagstuhl Leibniz LIPIcs,http://dblp.uni-trier.de/db/conf/rta/
计算机科学理论,C,会议,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/conf/isaac/
计算机科学理论,C,会议,MFCS,International Conference on Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/mfcs/
计算机科学理论,C,会议,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/stacs/
计算机科学理论,C,会议,SETTA,International Symposium on Software Engineering: Theories Tools and Applications,Springer,https://dblp.org/db/conf/setta/index.html
计算机图形学与多媒体,A,期刊,TOG,ACM Transactions on Graphics,ACM,http://dblp.uni-trier.de/db/journals/tog/
计算机图形学与多媒体,A,期刊,TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.uni-trier.de/db/journals/tip/
计算机图形学与多媒体,A,期刊,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/
计算机图形学与多媒体,A,期刊,TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.uni-trier.de/db/journals/tmm/
计算机图形学与多媒体,B,期刊,TOMM,ACM Transactions on Multimedia Computing Communications and Applications,ACM,http://dblp.uni-trier.de/db/journals/tomccap/
计算机图形学与多媒体,B,期刊,CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/
计算机图形学与多媒体,B,期刊,CGF,Computer Graphics Forum,Wiley,http://dblp.uni-trier.de/db/journals/cgf/
计算机图形学与多媒体,B,期刊,CAD,Computer-Aided Design,Elsevier,http://dblp.uni-trier.de/db/journals/cad/
计算机图形学与多媒体,B,期刊,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/
计算机图形学与多媒体,B,期刊,JASA,The Journal of the Acoustical Society of America,AIP,http://scitation.aip.org/content/asa/journals/jasa
计算机图形学与多媒体,B,期刊,SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.uni-trier.de/db/journals/siamis/
计算机图形学与多媒体,B,期刊,SPECOM,Speech Communication,Elsevier,http://dblp.uni-trier.de/db/journals/speech/
计算机图形学与多媒体,B,期刊,CVMJ,Computational Visual Media,清华大学出版社 IEEE,https://dblp.org/db/journals/cvm/index.html
计算机图形学与多媒体,C,期刊,CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/
计算机图形学与多媒体,C,期刊,CAVW,Computer animation & virtual worlds,Wiley,https://dblp.org/db/journals/jvca/index.html
计算机图形学与多媒体,C,期刊,C&G,Computers & Graphics,Elsevier,http://dblp.uni-trier.de/db/journals/cg/
计算机图形学与多媒体,C,期刊,DCG,Discrete & Computational Geometry,Springer,http://dblp.uni-trier.de/db/journals/dcg/
计算机图形学与多媒体,C,期刊,SPL,IEEE Signal Processing Letters,IEEE,http://dblp.uni-trier.de/db/journals/spl/
计算机图形学与多媒体,C,期刊,IET-IPR,IET Image Processing,IET,http://dblp.uni-trier.de/db/journals/iet-ipr/
计算机图形学与多媒体,C,期刊,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/
计算机图形学与多媒体,C,期刊,MS,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/
计算机图形学与多媒体,C,期刊,MTA,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/
计算机图形学与多媒体,C,期刊,SIGPRO,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/
计算机图形学与多媒体,C,期刊,IMAGE,Signal Processing: Image Communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/
计算机图形学与多媒体,C,期刊,TVC,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/
计算机图形学与多媒体,C,期刊,VI,Visual Informatics,浙江大学出版社,https://dblp.uni-trier.de/db/journals/vi/index.html
计算机图形学与多媒体,C,期刊,VRIH,Virtual Reality & Intelligent Hardware,中国科技出版社 北京航空航天大学,https://dblp.uni-trier.de/db/journals/vrih/index.html
计算机图形学与多媒体,C,期刊,GMOD,Graphical Models,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/
计算机图形学与多媒体,A,会议,ACMMM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/
计算机图形学与多媒体,A,会议,SIGGRAPH,ACM Special Interest Group on Computer Graphics,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html
计算机图形学与多媒体,A,会议,VR,IEEE Conference on Virtual Reality and 3D User Interfaces,IEEE,http://dblp.uni-trier.de/db/conf/vr/
计算机图形学与多媒体,A,会议,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html
计算机图形学与多媒体,B,会议,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/
计算机图形学与多媒体,B,会议,I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,ACM,http://dblp.uni-trier.de/db/conf/si3d/
计算机图形学与多媒体,B,会议,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html
计算机图形学与多媒体,B,会议,DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/
计算机图形学与多媒体,B,会议,Eurographics,Annual Conference of the European Association for Computer Graphics,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/
计算机图形学与多媒体,B,会议,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/
计算机图形学与多媒体,B,会议,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/
计算机图形学与多媒体,B,会议,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/
计算机图形学与多媒体,B,会议,ICASSP,IEEE International Conference on Acoustics Speech and Signal Processing,IEEE,http://dblp.uni-trier.de/db/conf/icassp/
计算机图形学与多媒体,B,会议,ICME,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/
计算机图形学与多媒体,B,会议,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/
计算机图形学与多媒体,B,会议,PG,Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html
计算机图形学与多媒体,B,会议,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/
计算机图形学与多媒体,B,会议,INTERSPEECH,Conference of the International Speech Communication Association,ISCA,http://dblp.uni-trier.de/db/conf/interspeech/index.html
计算机图形学与多媒体,C,会议,VRST,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp2.uni-trier.de/db/conf/vrst/
计算机图形学与多媒体,C,会议,CASAXR,International Conference on Computer Animation Social Agents and Extended Reality,Wiley,http://dblp.uni-trier.de/db/conf/ca/
计算机图形学与多媒体,C,会议,CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/
计算机图形学与多媒体,C,会议,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
计算机图形学与多媒体,C,会议,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/
计算机图形学与多媒体,C,会议,3DV,International Conference on 3D Vision,IEEE,https://dblp.uni-trier.de/db/conf/3dim/
计算机图形学与多媒体,C,会议,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics Processing,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/
计算机图形学与多媒体,C,会议,ICIP,IEEE International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/
计算机图形学与多媒体,C,会议,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html
计算机图形学与多媒体,C,会议,MMAsia,ACM Multimedia Asia,ACM,https://dblp.uni-trier.de/db/conf/mmasia/index.html
计算机图形学与多媒体,C,会议,SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/
计算机图形学与多媒体,C,会议,CVM,Computational Visual Media,Tsinghua University,https://dblp.org/db/conf/cvm/index.html
计算机图形学与多媒体,C,会议,PRCV,Chinese Conference on Pattern Recognition and Computer Vision,Springer,https://dblp.org/db/conf/prcv/index.html
计算机图形学与多媒体,C,会议,ICIG,International Conference on Image and Graphics,Springer,https://dblp.uni-trier.de/db/conf/icig/index.html
计算机图形学与多媒体,C,会议,NCMMSC,National Conference on Man-Machine Speech Communication,CCF 中国中文信息学会,https://dblp.uni-trier.de/search?q=NCMMSC
计算机图形学与多媒体,C,会议,ASRU,Automatic Speech Recognition and Understanding Workshop,IEEE SLTC,https://dblp.uni-trier.de/db/conf/asru/index.html
计算机图形学与多媒体,C,会议,SLT,Spoken Language Technology,IEEE SLTC,https://dblp.uni-trier.de/db/conf/slt/index.html
人工智能,A,期刊,AI,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/ai/
人工智能,A,期刊,TPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/journals/pami/
人工智能,A,期刊,IJCV,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/journals/ijcv/
人工智能,A,期刊,JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/journals/jmlr/
人工智能,B,期刊,TAP,ACM Transactions on Applied Perception,ACM,http://dblp.uni-trier.de/db/journals/tap/
人工智能,B,期刊,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/journals/aamas/
人工智能,B,期刊,Computational Linguistics,Computational Linguistics,MIT Press,http://dblp.uni-trier.de/db/journals/coling/
人工智能,B,期刊,CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/journals/cviu/
人工智能,B,期刊,DKE,Data & Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/index.html
人工智能,B,期刊,Evolutionary Computation,Evolutionary Computation,MIT Press,http://dblp.uni-trier.de/db/journals/ec/
人工智能,B,期刊,TAC,IEEE Transactions on Affective Computing,IEEE,http://dblp.uni-trier.de/db/journals/taffco/
人工智能,B,期刊,TASLP,IEEE Transactions on Audio Speech and Language Processing,IEEE,http://dblp.uni-trier.de/db/journals/taslp/
人工智能,B,期刊,IEEE Transactions on Cybernetics,IEEE Transactions on Cybernetics,IEEE,http://dblp.uni-trier.de/db/journals/tcyb/
人工智能,B,期刊,TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/journals/tec/
人工智能,B,期刊,TFS,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.uni-trier.de/db/journals/tfs/
人工智能,B,期刊,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/journals/tnn/
人工智能,B,期刊,IJAR,International Journal of Approximate Reasoning,Elsevier,http://dblp.uni-trier.de/db/journals/ijar/
人工智能,B,期刊,JAIR,Journal of Artificial Intelligence Research,AAAI,http://dblp.uni-trier.de/db/journals/jair/index.html
人工智能,B,期刊,Journal of Automated Reasoning,Journal of Automated Reasoning,Springer,http://dblp.uni-trier.de/db/journals/jar/
人工智能,B,期刊,JSLHR,Journal of Speech Language and Hearing,American Speech-Language Hearing Association,http://jslhr.pubs.asha.org/
人工智能,B,期刊,Machine Learning,Machine Learning,Springer,http://dblp.uni-trier.de/db/journals/ml/
人工智能,B,期刊,Neural Computation,Neural Computation,MIT Press,http://dblp.uni-trier.de/db/journals/neco/
人工智能,B,期刊,Neural Networks,Neural Networks,Elsevier,http://dblp.uni-trier.de/db/journals/nn/
人工智能,B,期刊,PR,Pattern Recognition,Elsevier,http://dblp.uni-trier.de/db/conf/par/
人工智能,B,期刊,TACL,Transactions of the Association for Computational Linguistics,The Association for Computational Linguistics,https://dblp.org/db/journals/tacl/index.html
人工智能,C,期刊,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/
人工智能,C,期刊,Applied Intelligence,Applied Intelligence,Springer,http://dblp.uni-trier.de/db/journals/apin/
人工智能,C,期刊,AIM,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/
人工智能,C,期刊,Artificial Life,Artificial Life,MIT Press,http://dblp.uni-trier.de/db/journals/alife/
人工智能,C,期刊,Computational Intelligence,Computational Intelligence,Wiley,http://dblp.uni-trier.de/db/journals/ci/
人工智能,C,期刊,Computer Speech & Language,Computer Speech & Language,Elsevier,http://dblp.uni-trier.de/db/journals/csl/
人工智能,C,期刊,Connection Science,Connection Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/connection/
人工智能,C,期刊,DSS,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/
人工智能,C,期刊,EAAI,Engineering Applications of Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/eaaai/
人工智能,C,期刊,Expert Systems,Expert Systems,Blackwell Wiley,http://dblp.uni-trier.de/db/journals/es/
人工智能,C,期刊,ESWA,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/
人工智能,C,期刊,Fuzzy Sets and Systems,Fuzzy Sets and Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fss/
人工智能,C,期刊,TG,IEEE Transactions on Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/
人工智能,C,期刊,IET-CVI,IET Computer Vision,IET,https://dblp.org/db/journals/iet-cvi/index.html
人工智能,C,期刊,IET Signal Processing,IET Signal Processing,IET,https://dblp.org/db/journals/iet-spr/index.html
人工智能,C,期刊,IVC,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/
人工智能,C,期刊,IDA,Intelligent Data Analysis,IOS Press,http://dblp.uni-trier.de/db/journals/ida/
人工智能,C,期刊,IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/
人工智能,C,期刊,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
人工智能,C,期刊,IJNS,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/
人工智能,C,期刊,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/
人工智能,C,期刊,IUFKS,International Journal of Uncertainty Fuzziness and Knowledge-Based Systems,World Scientific,https://dblp.uni-trier.de/db/journals/ijufks/
人工智能,C,期刊,IJDAR,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/
人工智能,C,期刊,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/
人工智能,C,期刊,KBS,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/
人工智能,C,期刊,Machine Translation,Machine Translation,Springer,http://dblp.uni-trier.de/db/journals/mt/
人工智能,C,期刊,Machine Vision and Applications,Machine Vision and Applications,Springer,http://dblp.uni-trier.de/db/journals/mva/
人工智能,C,期刊,Natural Computing,Natural Computing,Springer,http://dblp.uni-trier.de/db/journals/nc/
人工智能,C,期刊,NLE,Natural Language Engineering,Cambridge University Press,http://dblp.uni-trier.de/db/journals/nle/
人工智能,C,期刊,NCA,Neural Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/
人工智能,C,期刊,NPL,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/
人工智能,C,期刊,Neurocomputing,Neurocomputing,Elsevier,http://dblp.uni-trier.de/db/journals/ijon/
人工智能,C,期刊,PAA,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/
人工智能,C,期刊,PRL,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/
人工智能,C,期刊,Soft Computing,Soft Computing,Springer,http://dblp.uni-trier.de/db/journals/soco/
人工智能,C,期刊,WI,Web Intelligence,IOS Press,http://dblp.uni-trier.de/db/journals/wias/
人工智能,C,期刊,TIIS,ACM Transactions on Interactive Intelligent Systems,ACM,https://dblp.org/db/journals/tiis/index.html
人工智能,C,期刊,TELO,ACM Transactions on Evolutionary Learning and Optimization,ACM,https://dblp.uni-trier.de/db/journals/telo/index.html
人工智能,C,期刊,JATS,ACM Journal on Autonomous Transportation Systems,ACM,
人工智能,A,会议,AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/
人工智能,A,会议,NeurIPS,Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/
人工智能,A,会议,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/
人工智能,A,会议,CVPR,IEEE/CVF Computer Vision and Pattern Recognition Conference,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/
人工智能,A,会议,ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/
人工智能,A,会议,ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/
人工智能,A,会议,ICLR,International Conference on Learning Representations,OpenReview,https://dblp.uni-trier.de/db/conf/iclr/index.html
人工智能,B,会议,COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/
人工智能,B,会议,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/
人工智能,B,会议,ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/
人工智能,B,会议,ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/
人工智能,B,会议,ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/
人工智能,B,会议,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,https://dblp.uni-trier.de/db/conf/icaps/index.html
人工智能,B,会议,ICCBR,International Conference on Case-Based Reasoning,Springer,http://dblp.uni-trier.de/db/conf/iccbr/
人工智能,B,会议,COLING,International Conference on Computational Linguistics,International Committee on Computational Linguistics,http://dblp.uni-trier.de/db/conf/coling/
人工智能,B,会议,KR,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/
人工智能,B,会议,UAI,Conference on Uncertainty in Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/
人工智能,B,会议,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,https://dblp.uni-trier.de/db/conf/ifaamas/index.html
人工智能,B,会议,PPSN,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/
人工智能,B,会议,NAACL,North American Chapter of the Association for Computational Linguistics,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/naacl/
人工智能,B,会议,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/
人工智能,C,会议,AISTATS,International Conference on Artificial Intelligence and Statistics,JMLR,http://dblp.uni-trier.de/db/conf/aistats/
人工智能,C,会议,ACCV,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/
人工智能,C,会议,ACML,Asian Conference on Machine Learning,JMLR,http://dblp.uni-trier.de/db/conf/acml/
人工智能,C,会议,BMVC,British Machine Vision Conference,British Machine Vision Association,http://dblp.uni-trier.de/db/conf/bmvc/
人工智能,C,会议,NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,Springer,https://dblp.uni-trier.de/db/conf/nlpcc/
人工智能,C,会议,CoNLL,Conference on Computational Natural Language Learning,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/conll
人工智能,C,会议,GECCO,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/
人工智能,C,会议,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/
人工智能,C,会议,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iros/
人工智能,C,会议,ALT,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/
人工智能,C,会议,ICANN,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/
人工智能,C,会议,FG,IEEE International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/
人工智能,C,会议,ICDAR,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/
人工智能,C,会议,ILP,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/
人工智能,C,会议,KSEM,International conference on Knowledge Science Engineering and Management,Springer,http://dblp.uni-trier.de/db/conf/ksem/
人工智能,C,会议,ICONIP,International Conference on Neural Information Processing,Springer,http://dblp.uni-trier.de/db/conf/iconip/
人工智能,C,会议,ICPR,International Conference on Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icpr/
人工智能,C,会议,IJCB,International Joint Conference on Biometrics,IEEE,http://dblp.uni-trier.de/db/conf/icb/
人工智能,C,会议,IJCNN,International Joint Conference on Neural Networks,IEEE,http://dblp.uni-trier.de/db/conf/ijcnn/
人工智能,C,会议,PRICAI,Pacific Rim International Conference on Artificial Intelligence,Springer,http://dblp.uni-trier.de/db/conf/pricai/
人工智能,C,会议,IEEE CEC,Congress on Evolutionary Computation,IEEE,https://dblp.uni-trier.de/db/conf/cec/index.html
人工智能,C,会议,DAI,International Conference on Distributed Artificial Intelligence,ACM/Springer,https://dblp.uni-trier.de/db/conf/dai2/index.html
人机交互与普适计算,A,期刊,TOCHI,ACM Transactions on Computer-Human Interaction,ACM,http://dblp.uni-trier.de/db/journals/tochi/
人机交互与普适计算,A,期刊,IJHCS,International Journal of Human-Computer Studies,Elsevier,http://dblp.uni-trier.de/db/journals/ijmms/
人机交互与普适计算,B,期刊,CSCW,Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/journals/cscw/
人机交互与普适计算,B,期刊,HCI,Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/hhci/
人机交互与普适计算,B,期刊,IEEE Transactions on Human-Machine Systems,IEEE Transactions on Human-Machine Systems,IEEE,http://dblp.uni-trier.de/db/journals/thms/
人机交互与普适计算,B,期刊,IWC,Interacting with Computers,Oxford University Press,http://dblp.uni-trier.de/db/journals/iwc/
人机交互与普适计算,B,期刊,IJHCI,International Journal of Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/ijhci/
人机交互与普适计算,B,期刊,UMUAI,User Modeling and User-Adapted Interaction,Springer,http://dblp.uni-trier.de/db/journals/umuai/
人机交互与普适计算,B,期刊,TSMC,IEEE Transactions on Systems Man and Cybernetics: Systems,IEEE,https://dblp.org/db/journals/tsmc/tsmc12.html
人机交互与普适计算,B,期刊,CCF TPCI,CCF Transactions on Pervasive Computing and Interaction,CCF/Springer,https://dblp.uni-trier.de/db/journals/ccfpc/indext.html
人机交互与普适计算,C,期刊,BIT,Behaviour & Information Technology,Taylor & Francis,http://dblp.uni-trier.de/db/journals/behaviourIT/
人机交互与普适计算,C,期刊,PUC,Personal and Ubiquitous Computing,Springer,http://dblp.uni-trier.de/db/journals/puc/
人机交互与普适计算,C,期刊,PMC,Pervasive and Mobile Computing,Elsevier,http://dblp.uni-trier.de/db/journals/percom/
人机交互与普适计算,C,期刊,PACMHCI,Proceedings of the ACM on Human-Computer Interaction,ACM,https://dblp.org/db/journals/pacmhci/index.html
人机交互与普适计算,C,期刊,THRI,ACM Transactions on Human-Robot Interaction,ACM,https://dblp.uni-trier.de/db/journals/thri/index.html
人机交互与普适计算,A,会议,CSCW,ACM Conference On Computer-Supported Cooperative Work And Social Computing,ACM,http://dblp.uni-trier.de/db/conf/cscw
人机交互与普适计算,A,会议,CHI,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.uni-trier.de/db/conf/chi
人机交互与普适计算,A,会议,UbiComp,ACM international joint conference on Pervasive and Ubiquitous Computing,ACM,https://dblp.uni-trier.de/db/conf/huc/
人机交互与普适计算,A,会议,UIST,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/uist/
人机交互与普适计算,B,会议,GROUP,ACM International Conference on Supporting Group Work,ACM,http://dblp.uni-trier.de/db/conf/group/
人机交互与普适计算,B,会议,IUI,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.uni-trier.de/db/conf/iui/
人机交互与普适计算,B,会议,ISS,ACM International Conference on Interactive Surfaces and Spaces,ACM,http://dblp.uni-trier.de/db/conf/tabletop/
人机交互与普适计算,B,会议,ECSCW,European Conference on Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/conf/ecscw/
人机交互与普适计算,B,会议,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/percom/
人机交互与普适计算,B,会议,MobileHCI,ACM International Conference on Mobile Human-Computer Interaction,ACM,http://dblp.uni-trier.de/db/conf/mhci/
人机交互与普适计算,B,会议,ICWSM,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.org/db/conf/icwsm/index.html
人机交互与普适计算,C,会议,DIS,ACM SIGCHI Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis
人机交互与普适计算,C,会议,ICMI,ACM International Conference on Multimodal Interaction,ACM,http://dblp.uni-trier.de/db/conf/icmi/
人机交互与普适计算,C,会议,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.uni-trier.de/db/conf/assets
人机交互与普适计算,C,会议,GI,Graphics Interface,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/
人机交互与普适计算,C,会议,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/
人机交互与普适计算,C,会议,IEEE World Haptics,IEEE World Haptics Conference,IEEE,http://dblp.uni-trier.de/db/conf/haptics/
人机交互与普适计算,C,会议,INTERACT,International Conference on Human-Computer Interaction of International Federation for Information Processing,IFIP,http://dblp.uni-trier.de/db/conf/interact/
人机交互与普适计算,C,会议,IDC,ACM Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/
人机交互与普适计算,C,会议,CollaborateCom,International Conference on Collaborative Computing: Networking Applications and Worksharing,Springer,https://dblp.uni-trier.de/db/conf/colcom/
人机交互与普适计算,C,会议,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/
人机交互与普适计算,C,会议,CoopIS,International Conference on Cooperative Information Systems,Springer,http://dblp.uni-trier.de/db/conf/coopis/
人机交互与普适计算,C,会议,MobiQuitous,International Conference on Mobile and Ubiquitous Systems: Computing Networking and Services,Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/
