分类,级别,类型,简称,全称,出版社,网址
计算机体系结构/并行与分布计算/存储系统,C,会议,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/
计算机体系结构/并行与分布计算/存储系统,C,会议,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/hpcc/
计算机体系结构/并行与分布计算/存储系统,C,会议,HiPC,IEEE International Conference on High Performance Computing Data and Analytics,IEEE/ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,MASCOTS,International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems,IEEE,http://dblp.uni-trier.de/db/conf/mascots/
计算机体系结构/并行与分布计算/存储系统,C,会议,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,http://dblp.uni-trier.de/db/conf/ispa/
计算机体系结构/并行与分布计算/存储系统,C,会议,CCGRID,IEEE/ACM International Symposium on Cluster Cloud and Grid Computing,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ccgrid/
计算机体系结构/并行与分布计算/存储系统,C,会议,NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.uni-trier.de/db/conf/npc/
计算机体系结构/并行与分布计算/存储系统,C,会议,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ica3pp/
计算机体系结构/并行与分布计算/存储系统,C,会议,CASES,International Conference on Compilers Architectures and Synthesis for Embedded Systems,ACM,http://dblp.uni-trier.de/db/conf/cases/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/fpt/
计算机体系结构/并行与分布计算/存储系统,C,会议,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/icpads/
计算机体系结构/并行与分布计算/存储系统,C,会议,ISLPED,International Symposium on Low Power Electronics and Design,IEEE,http://dblp.uni-trier.de/db/conf/islped/
计算机体系结构/并行与分布计算/存储系统,C,会议,ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/ispd/
计算机体系结构/并行与分布计算/存储系统,C,会议,HOTI,IEEE Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/hoti/
计算机体系结构/并行与分布计算/存储系统,C,会议,VTS,IEEE VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/vts/
计算机体系结构/并行与分布计算/存储系统,C,会议,ITC-Asia,International Test Conference in Asia,IEEE,https://dblp.uni-trier.de/db/conf/itc-asia/
计算机体系结构/并行与分布计算/存储系统,C,会议,SEC,ACM/IEEE Symposium on Edge Computing,IEEE,https://dblp.uni-trier.de/db/conf/ieeesec/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,NAS,International Conference on Networking Architecture and Storages,IEEE,https://dblp.uni-trier.de/db/conf/nas/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,HotStorage,HotStorage,USENIX Association,https://dblp.uni-trier.de/db/conf/hotstorage/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,APPT,International Symposium on Advanced Parallel Processing Technology,Springer,https://dblp.uni-trier.de/db/conf/appt/index.html
计算机体系结构/并行与分布计算/存储系统,C,会议,JCC,International Conference on JointCloud Computing,CCF IEEE,
计算机网络,A,期刊,JSAC,IEEE Journal on Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/
计算机网络,A,期刊,TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/
计算机网络,A,期刊,TON,IEEE Transactions on Networking,IEEE,http://dblp.uni-trier.de/db/journals/ton/
计算机网络,B,期刊,TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/
计算机网络,B,期刊,TOMM,ACM Transactions on Multimedia Computing Communications and Applications,ACM,http://dblp.uni-trier.de/db/journals/tomccap/
计算机网络,B,期刊,TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/
计算机网络,B,期刊,CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/
计算机网络,B,期刊,TCOM,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/
计算机网络,B,期刊,TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/
计算机网络,C,期刊,Ad Hoc Networks,Ad Hoc Networks,Elsevier,http://dblp.uni-trier.de/db/journals/adhoc/
计算机网络,C,期刊,CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/
计算机网络,C,期刊,TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/
计算机网络,C,期刊,IET Communications,IET Communications,IET,http://dblp.uni-trier.de/db/journals/iet-com/
